employeeId;DH020001;DH020022;DH020024;DH020021;DH020008;DH020023;DH020019;DH020018;DH020004;DH020009;DH000003;DH020089;DH020025;DH020026;Sum;
DH00001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00001;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00002;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00002;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00003;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00004;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00004;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00005;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00007;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00008;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00009;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00010;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00011;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00012;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00012;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00014;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00015;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00016;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00017;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00017;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00018;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00019;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00020;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00022;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00024;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00024;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00025;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00026;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00030;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00030;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00031;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00031;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00032;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00033;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00033;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00035;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00035;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00039;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00039;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00043;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00043;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00044;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00044;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00046;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00046;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00049;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00049;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00051;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00051;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00054;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00054;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00055;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00055;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00057;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00057;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00058;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00058;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00059;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00059;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00060;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00060;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00061;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00061;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00064;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00064;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00065;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00065;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
