employeeId;DM020001;DM020022;DM020024;DM020021;DM020008;DM020023;DM020019;DM020018;DM020004;DM020009;DM000003;DM020089;DM020025;DM020026;Sum
DM00001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DM00001;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
DM00002;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DM00002;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
DM00004;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DM00004;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
DM00005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DM00005;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
DM00006;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DM00006;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
DM00007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DM00007;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
DM00009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DM00009;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
DM00010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DM00010;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
DM00013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DM00013;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
DM00014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DM00014;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
DM00016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DM00016;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
DM00017;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DM00017;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
DM00020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DM00020;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
DM00022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DM00022;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
DM00023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DM00023;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
DM00025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DM00025;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
DM00026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DM00026;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
