employeeId;LKL020001;LKL020022;LKL020024;LKL020021;LKL020008;LKL020023;LKL020019;LKL020018;LKL020004;LKL020009;LKL000003;LKL020089;LKL020025;LKL020026;Sum
LKL00002;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"LKL00002;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
LKL00003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"LKL00003;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
LKL00005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"LKL00005;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
LKL00009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"LKL00009;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
LKL00014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"LKL00014;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
LKL00017;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"LKL00017;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
LKL00025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"LKL00025;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
LKL00029;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"LKL00029;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
LKL00035;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"LKL00035;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
LKL00036;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"LKL00036;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
LKL00043;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"LKL00043;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
LKL00044;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"LKL00044;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
LKL00055;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"LKL00055;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
LKL00066;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"LKL00066;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
LKL00080;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"LKL00080;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
LKL00090;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"LKL00090;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
LKL00107;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"LKL00107;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
LKL00124;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"LKL00124;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
LKL00127;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"LKL00127;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
LKL00130;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"LKL00130;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
LKL00134;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"LKL00134;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
LKL00135;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"LKL00135;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
LKL00140;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"LKL00140;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
LKL00060;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"LKL00060;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
