employeeId;LT020001;LT020022;LT020024;LT020021;LT020008;LT020023;LT020019;LT020018;LT020004;LT020009;LT000003;LT020089;LT020025;LT020026;Sum
LT00050;0;0;0;6;0;0;0;0;0;0;0;0;0;0;"LT00050;0;0;0;6;0;0;0;0;0;0;0;0;0;0"
LT01126;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"LT01126;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
LT01272;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"LT01272;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
LT01273;0;0;0;10;0;0;0;0;0;0;0;0;0;0;"LT01273;0;0;0;10;0;0;0;0;0;0;0;0;0;0"
LT00552;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"LT00552;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
LT03483;0;0;0;6;0;0;0;0;0;0;0;0;0;0;"LT03483;0;0;0;6;0;0;0;0;0;0;0;0;0;0"
LT00452;0;0;0;3;0;0;0;0;0;0;0;0;0;0;"LT00452;0;0;0;3;0;0;0;0;0;0;0;0;0;0"
LT00905;0;0;0;3;0;0;0;0;0;0;0;0;0;0;"LT00905;0;0;0;3;0;0;0;0;0;0;0;0;0;0"
LT00906;0;0;0;2;0;0;0;0;0;0;0;0;0;0;"LT00906;0;0;0;2;0;0;0;0;0;0;0;0;0;0"
LT01766;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"LT01766;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
LT02736;0;0;0;1;0;0;0;0;0;0;0;0;0;0;"LT02736;0;0;0;1;0;0;0;0;0;0;0;0;0;0"
LT02835;0;0;0;2;0;0;0;0;0;0;0;0;0;0;"LT02835;0;0;0;2;0;0;0;0;0;0;0;0;0;0"
LT02944;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"LT02944;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
LT03771;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"LT03771;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
LT03813;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"LT03813;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
LT00824;0;0;0;1;0;0;0;0;0;0;0;0;0;0;"LT00824;0;0;0;1;0;0;0;0;0;0;0;0;0;0"
LT01709;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"LT01709;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
LT03769;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"LT03769;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
