employeeId;OH020001;OH020022;OH020024;OH020021;OH020008;OH020023;OH020019;OH020018;OH020004;OH020009;OH000003;OH020089;OH020025;OH020026;Sum
OH00144;0;0;0;7;0;0;0;0;0;0;0;0;0;0;"OH00144;0;0;0;7;0;0;0;0;0;0;0;0;0;0"
OH00174;0;0;0;4;0;0;0;0;0;0;0;0;0;0;"OH00174;0;0;0;4;0;0;0;0;0;0;0;0;0;0"
OH00209;0;0;0;1;0;0;0;0;0;0;0;0;0;0;"OH00209;0;0;0;1;0;0;0;0;0;0;0;0;0;0"
OH00690;0;0;0;7;0;0;0;0;0;0;0;0;0;0;"OH00690;0;0;0;7;0;0;0;0;0;0;0;0;0;0"
OH00691;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"OH00691;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
OH00692;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"OH00692;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
OH00693;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"OH00693;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
OH00695;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"OH00695;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
OH00696;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"OH00696;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
OH00697;0;0;0;1;0;0;0;0;0;0;0;0;0;0;"OH00697;0;0;0;1;0;0;0;0;0;0;0;0;0;0"
OH00698;0;0;0;2;0;0;0;0;0;0;0;0;0;0;"OH00698;0;0;0;2;0;0;0;0;0;0;0;0;0;0"
OH00705;0;0;0;1;0;0;0;0;0;0;0;0;0;0;"OH00705;0;0;0;1;0;0;0;0;0;0;0;0;0;0"
OH00085;0;0;0;1;0;0;0;0;0;0;0;0;0;0;"OH00085;0;0;0;1;0;0;0;0;0;0;0;0;0;0"
OH00108;0;0;0;1;0;0;0;0;0;0;0;0;0;0;"OH00108;0;0;0;1;0;0;0;0;0;0;0;0;0;0"
OH00159;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"OH00159;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
OH00197;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"OH00197;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
OH00255;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"OH00255;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
OH00384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"OH00384;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
OH00658;0;0;0;6;0;0;0;0;0;0;0;0;0;0;"OH00658;0;0;0;6;0;0;0;0;0;0;0;0;0;0"
OH00659;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"OH00659;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
OH00706;0;0;0;1;0;0;0;0;0;0;0;0;0;0;"OH00706;0;0;0;1;0;0;0;0;0;0;0;0;0;0"
OH00306;0;0;0;2;0;0;0;0;0;0;0;0;0;0;"OH00306;0;0;0;2;0;0;0;0;0;0;0;0;0;0"
OH00051;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"OH00051;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
OH00687;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"OH00687;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
OH00128;0;0;0;9;0;0;0;0;0;0;0;0;0;0;"OH00128;0;0;0;9;0;0;0;0;0;0;0;0;0;0"
OH00139;0;0;0;3;0;0;0;0;0;0;0;0;0;0;"OH00139;0;0;0;3;0;0;0;0;0;0;0;0;0;0"
OH00165;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"OH00165;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
OH00180;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"OH00180;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
OH00192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"OH00192;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
OH00216;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"OH00216;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
OH00292;0;0;0;7;0;0;0;0;0;0;0;0;0;0;"OH00292;0;0;0;7;0;0;0;0;0;0;0;0;0;0"
OH00091;0;0;0;12;0;0;0;0;0;0;0;0;0;0;"OH00091;0;0;0;12;0;0;0;0;0;0;0;0;0;0"
OH00138;0;0;0;10;0;0;0;0;0;0;0;0;0;0;"OH00138;0;0;0;10;0;0;0;0;0;0;0;0;0;0"
OH00217;0;0;0;10;0;0;0;0;0;0;0;0;0;0;"OH00217;0;0;0;10;0;0;0;0;0;0;0;0;0;0"
OH00372;0;0;0;8;0;0;0;0;0;0;0;0;0;0;"OH00372;0;0;0;8;0;0;0;0;0;0;0;0;0;0"
OH00047;0;0;0;2;0;0;0;0;0;0;0;0;0;0;"OH00047;0;0;0;2;0;0;0;0;0;0;0;0;0;0"
OH00015;0;0;0;16;0;0;0;0;0;0;0;0;0;0;"OH00015;0;0;0;16;0;0;0;0;0;0;0;0;0;0"
OH00137;0;0;0;20;0;0;0;0;0;0;0;0;0;0;"OH00137;0;0;0;20;0;0;0;0;0;0;0;0;0;0"
OH00167;0;0;0;12;0;0;0;0;0;0;0;0;0;0;"OH00167;0;0;0;12;0;0;0;0;0;0;0;0;0;0"
OH00457;0;0;0;8;0;0;0;0;0;0;0;0;0;0;"OH00457;0;0;0;8;0;0;0;0;0;0;0;0;0;0"
OH00681;0;0;0;12;0;0;0;0;0;0;0;0;0;0;"OH00681;0;0;0;12;0;0;0;0;0;0;0;0;0;0"
OH00682;0;0;0;10;0;0;0;0;0;0;0;0;0;0;"OH00682;0;0;0;10;0;0;0;0;0;0;0;0;0;0"
